name,age,city
Person1,19,
Person2,20,NYC
Person3,21,
Person4,22,NYC
Person5,23,
Person6,24,NYC
Person7,25,
Person8,26,NYC
Person9,27,
Person10,invalid,NYC
Person11,29,
Person12,30,NYC
Person13,31,
Person14,32,NYC
,30,LA
Person16,34,NYC
Person17,35,
Person18,36,NYC
Person19,37,
Person20,invalid,NYC
Person21,39,
Person22,40,NYC
Person23,41,
Person24,42,NYC
Person25,43,
Person26,44,NYC
Person27,45,
Person28,46,NYC
Person29,47,
Person30,invalid,NYC
Person31,49,
Person32,50,NYC
Person33,51,
Person34,52,NYC
Person35,53,
Person36,54,NYC
Person37,55,
Person38,56,NYC
Person39,57,
Person40,invalid,NYC
Person41,59,
Person42,60,NYC
Person43,61,
Person44,62,NYC
,30,LA
Person46,64,NYC
Person47,65,
Person48,66,NYC
Person49,67,
Person50,invalid,NYC
Person51,69,
Person52,70,NYC
Person53,71,
Person54,72,NYC
Person55,73,
Person56,74,NYC
Person57,75,
Person58,76,NYC
Person59,77,
Person60,invalid,NYC
Person61,79,
Person62,80,NYC
Person63,81,
Person64,82,NYC
Person65,83,
Person66,84,NYC
Person67,85,
Person68,86,NYC
Person69,87,
Person70,invalid,NYC
Person71,89,
Person72,90,NYC
Person73,91,
Person74,92,NYC
,30,LA
Person76,94,NYC
Person77,95,
Person78,96,NYC
Person79,97,
Person80,invalid,NYC
Person81,19,
Person82,20,NYC
Person83,21,
Person84,22,NYC
Person85,23,
Person86,24,NYC
Person87,25,
Person88,26,NYC
Person89,27,
Person90,invalid,NYC
Person91,29,
Person92,30,NYC
Person93,31,
Person94,32,NYC
Person95,33,
Person96,34,NYC
Person97,35,
Person98,36,NYC
Person99,37,
Person100,invalid,NYC
